DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances)
18/10/2018;HÔTEL DE TOURISME;4 étoiles;-;-;1872 STADIUM HÔTEL;Boulevard de Leningrad;76600;LE HAVRE;https://www.1872stadiumhotel.com/fr/;-;40;20;-;-;-
26/09/2019;HÔTEL DE TOURISME;2 étoiles;-;-;3B HÔTEL DE BORDEAUX;66 avenue de la Libération;33440;AMBARÈS-ET-LAGRAVE;https://www.hotel-restaurant-gironde.fr/;-;26;14;-;-;-
12/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;5 TERRES HÔTEL & SPA MGALLERY BY SOFITEL;11 Place de l'Hôtel de ville;67140;BARR;https://5terres-hotel.fr/fr/;-;56;27;-;-;-
22/09/2017;HÔTEL DE TOURISME;4 étoiles;-;-;7HÔTEL&SPA;550 Boulevard Sébastien Brandt;67400;ILLKIRCH-GRAFFENSTADEN;https://7hotel.fr/;-;312;139;-;-;-
29/11/2019;HÔTEL DE TOURISME;3 étoiles;-;-;9 HÔTEL BASTILLE LYON;23 rue de lyon;75012;PARIS;https://www.9-hotel-bastille-lyon.fr;-;90;48;-;-;-
27/09/2019;HÔTEL DE TOURISME;3 étoiles;-;-;9 HÔTEL MONTPARNASSE;76 rue Raymond Losserand;75014;PARIS 14E ARRONDISSEMENT;https://www.9-hotel-montparnasse-paris.fr/fr/;-;86;43;-;-;-
13/07/2016;HÔTEL DE TOURISME;3 étoiles;-;-;9HÔTEL OPÉRA;14 rue Papillon;75009;PARIS;http://www.le9hotel.com/fr/h/9-hotel-opera;-;91;48;-;-;-
21/12/2015;HÔTEL DE TOURISME;4 étoiles;-;-;9HÔTEL RÉPUBLIQUE;7/9 Rue Pierre Chausson;75010;PARIS;http://www.le9hotel.com/fr/h/9-hotel-republique;-;92;48;-;-;-
31/10/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DE SAINTE CROIX;route du Val de Cuech;13300;SALON-DE-PROVENCE;http://www.abbaye-de-saintecroix.fr/;-;61;25;-;-;-
07/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DE TALLOIRES;chemin des Moines;74290;TALLOIRES;www.abbaye-talloires.com;-;76;33;-;-;-
05/07/2017;HÔTEL DE TOURISME;4 étoiles;-;-;ABBAYE DES CAPUCINS;6/8 quai de Verdun;82000;MONTAUBAN;http://abbayedescapucins.fr;-;203;85;-;-;-
19/03/2018;HÔTEL DE TOURISME;2 étoiles;-;-;ABBYS HÔTEL;Lieu-dit Vialard;24200;CARSAC-AILLAC;http://abbys-hotel.com/;-;72;32;-;-;-
23/02/2016;HÔTEL DE TOURISME;4 étoiles;-;-;AC HÔTEL AMBASSADEUR ANTIBES JUAN-LES-PINS;50 Chemin des sables;06160;JUAN LES PINS;https://www.marriott.fr/hotels/travel/jlpar-ac-hotel-ambassadeur-antibes-juan-les-pins/;-;1400;221;-;-;-
26/09/2019;HÔTEL DE TOURISME;4 étoiles;-;-;AC HÔTEL PARIS PORTE MAILLOT;6 rue Gustave Charpentier;75017;PARIS;https://www.marriott.fr/hotels/travel/parar-ac-hotel-paris-porte-maillot/;-;328;164;-;-;-
05/04/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACANTHE HÔTEL;12 RUE SAINT RÉMI;33000;BORDEAUX;http://www.acanthe-hotel-bordeaux.com;-;44;20;-;-;-
27/07/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACCOSTAGE HÔTEL;6 Avenue Coligny;17000;LA ROCHELLE;http://www.accostage-hotel.fr;-;32;15;-;-;-
30/01/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANGERS;RUE DU PAON;49124;SAINT-BARTHÉLEMY-D'ANJOU;www.ace-hotel-angers.com;-;160;60;-;-;-
04/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANNECY;8 BOULEVARD DU SEMNOZ;74600;SEYNOD;www.ace-hotel-annecy.com;-;173;73;-;-;-
10/10/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ANNEMASSE GENEVE;RUE DES BICHES;74100;VILLE-LA-GRAND;https://www.ace-hotel.com/fr/ace-hotel-annemasse-geneve;-;181;64;-;-;-
21/06/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL BEAURAINS;11 avenue des coquelicots;62217;BEAURAINS;https://www.ace-hotel-arras.com;-;162;60;-;-;-
04/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL BORDEAUX CESTAS;A63  AIRE DE BORDEAUX CESTAS;33610;CESTAS;https://www.ace-hotel.com/fr/ace-hotel-bordeaux-cestas;-;197;70;-;-;-
12/12/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL BOURGES;ZAC de l'échangeur;18000;BOURGES;https://www.ace-hotel-bourges.com/;-;168;64;-;-;-
02/08/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CAEN MÉMORIAL;7 rue René Cassin;14280;SAINT-CONTEST;http://www.ace-hotel-caen.fr/;-;153;61;-;-;-
30/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CHARTRES;RUE DE LA MALADRERIE;28630;LE COUDRAY;www.ace-hotel-chartres.com;-;174;64;-;-;-
27/02/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL CHATEAUROUX DÉOLS;ZAC DE L'ECOPARC DE GRANDEOLS;36130;DÉOLS;https://www.ace-hotel.com/fr/ace-hotel-chateauroux;-;158;60;-;-;-
23/01/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CLERMONT LA PARDIEU;Rue de l'Eminée;63100;CLERMONT-FERRAND;www.ace-hotel-clermont-pardieu.com;-;139;55;-;-;-
29/03/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL CREUTZWALD SAINT-AVOLD;80 A rue de Longeville;57150;CREUTZWALD;http://www.ace-hotel-creutzwald-saintavold.fr/;-;122;61;-;-;-
19/10/2017;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL ISSOIRE;RUE DU DOCTEUR BIENFAIT;63500;ISSOIRE;https://www.ace-hotel-issoire.fr/;-;136;54;-;-;-
10/07/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL LE MANS NORD;2 rue Louis Chappée;72650;SAINT-SATURNIN;https://www.ace-hotel-lemans.com//;-;172;63;-;-;-
23/01/2019;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL MONTLUCON;RUE ANDRE CITROEN ZONE DE LA LOUE;03410;SAINT-VICTOR;https://www.ace-hotel-montlucon.com;-;154;54;-;-;-
21/06/2019;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL NOYELLES GODAULT LILLE;rue de Beaumont;62950;NOYELLES-GODAULT;https://www.ace-hotel-noyelles.com;-;142;55;-;-;-
02/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS MARNE LA VALLÉE;3 Boulevard des Artisans;77700;BAILLY-ROMAINVILLIERS;https://www.ace-hotel-bailly-romainvilliers.fr/;-;198;76;-;-;-
23/12/2016;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS ROISSY;6 rue Galilée;77290;MITRY-MORY;www.ace-hotel-mitry.fr;-;188;80;-;-;-
21/07/2020;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL PARIS SUD VILLABE;1 route de Villoison;91100;VILLABÉ;www.ace-hotel-villabe.com;-;213;76;-;-;-
10/01/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL POITIERS;rue de la maison Coupée;86000;POITIERS;https://www.ace-hotel.com/fr/ace-hotel-poitiers;-;181;60;-;-;-
07/04/2016;HÔTEL DE TOURISME;2 étoiles;-;-;ACE HÔTEL RIOM;RUE LOUIS AMSTRONG;63200;RIOM;www.ace-hotel-riom.com;-;140;56;-;-;-
26/09/2018;HÔTEL DE TOURISME;3 étoiles;-;-;ACE HÔTEL ROANNE;1 rue Edouard Branly;42300;MABLY;https://www.ace-hotel-roanne.fr/;-;176;64;-;-;-
